MegaWin ASCII file

[DEFINITIONS]
Version=1
ChannelCount=16
DataType=1
SamplingFreq=1000.000000
FirstSampleTime=0.000000
PhaseName=Raw Free 22/07/2013 17:56:19


[COMMENT]
10_C_(Alter_d_i)


[SOURCE NAMES]
RA
OE
OI
ES
RF
BF
TA
GL
RA
OE
OI
ES
RF
BF
TA
GL


[SIDE INFO]
R
R
R
R
R
R
R
R
L
L
L
L
L
L
L
L


[UNITS]
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV




[DATA]
-8,00	-3,00	-2,00	13,00	2,00	-6,00	-7,00	-7,00	7,00	7,00	1,00	-46,00	3,00	-7292,00	-8,00	4,00
1,00	2,00	3,00	18,00	0,00	-3,00	-10,00	-13,00	14,00	6,00	0,00	-39,00	9,00	-7300,00	-6,00	5,00
-9,00	3,00	5,00	13,00	3,00	-3,00	-5,00	-4,00	11,00	17,00	0,00	-21,00	6,00	-7312,00	-3,00	12,00
-9,00	-7,00	-1,00	12,00	-1,00	0,00	-3,00	12,00	12,00	11,00	-3,00	-9,00	0,00	-7321,00	-4,00	12,00
-10,00	-6,00	3,00	7,00	2,00	-2,00	-5,00	22,00	11,00	7,00	0,00	-8,00	6,00	-7331,00	-3,00	18,00
-9,00	-6,00	0,00	6,00	2,00	-4,00	-7,00	11,00	7,00	2,00	0,00	9,00	10,00	-7342,00	-3,00	18,00
-3,00	-9,00	4,00	11,00	0,00	0,00	-7,00	6,00	10,00	6,00	0,00	18,00	2,00	-7354,00	-4,00	16,00
-13,00	-12,00	16,00	14,00	2,00	2,00	-8,00	-6,00	7,00	4,00	3,00	14,00	1,00	-7364,00	-3,00	15,00
-14,00	-4,00	14,00	11,00	5,00	-1,00	-9,00	-14,00	10,00	0,00	3,00	19,00	9,00	-7371,00	-1,00	16,00
-12,00	-3,00	9,00	4,00	0,00	-2,00	-4,00	-30,00	9,00	-3,00	0,00	17,00	12,00	-7381,00	0,00	3,00
-7,00	-1,00	8,00	7,00	3,00	0,00	-10,00	-22,00	7,00	0,00	0,00	6,00	10,00	-7393,00	-3,00	-8,00
-6,00	0,00	6,00	6,00	2,00	-3,00	-7,00	-10,00	6,00	2,00	-4,00	5,00	9,00	-7402,00	-2,00	7,00
-7,00	0,00	0,00	7,00	4,00	-1,00	-3,00	3,00	10,00	1,00	-11,00	-3,00	9,00	-7410,00	-5,00	7,00
-7,00	2,00	-3,00	8,00	2,00	-4,00	-2,00	6,00	7,00	-3,00	-6,00	0,00	9,00	-7422,00	-9,00	3,00
-6,00	4,00	13,00	7,00	2,00	-10,00	-2,00	-6,00	6,00	-3,00	2,00	6,00	10,00	-7430,00	-8,00	5,00
-4,00	2,00	-2,00	10,00	1,00	-8,00	0,00	-3,00	6,00	2,00	7,00	-14,00	9,00	-7439,00	-13,00	11,00
-5,00	2,00	-13,00	8,00	2,00	-7,00	-2,00	-3,00	11,00	-3,00	13,00	-25,00	4,00	-7450,00	-9,00	13,00
-13,00	2,00	-25,00	12,00	4,00	-4,00	-3,00	0,00	9,00	-2,00	17,00	-24,00	10,00	-7458,00	-7,00	12,00
-5,00	5,00	-23,00	23,00	2,00	0,00	0,00	0,00	10,00	-7,00	20,00	-16,00	3,00	-7469,00	-5,00	16,00
-4,00	17,00	-8,00	22,00	1,00	-6,00	0,00	-3,00	11,00	5,00	16,00	-7,00	7,00	-7481,00	-7,00	14,00
-3,00	-1,00	-6,00	16,00	0,00	-2,00	0,00	2,00	11,00	-1,00	14,00	9,00	4,00	-7486,00	-4,00	14,00
-4,00	-8,00	-3,00	17,00	3,00	-2,00	-2,00	4,00	7,00	-22,00	16,00	1,00	7,00	-7498,00	-7,00	13,00
-8,00	-13,00	-5,00	18,00	1,00	1,00	0,00	-1,00	10,00	-30,00	12,00	-7,00	10,00	-7507,00	-3,00	9,00
-1,00	-12,00	-5,00	16,00	2,00	-1,00	0,00	-8,00	11,00	-28,00	10,00	-11,00	0,00	-7516,00	-5,00	7,00
-5,00	-18,00	-1,00	12,00	2,00	-2,00	0,00	-12,00	6,00	-16,00	1,00	-6,00	2,00	-7525,00	-4,00	11,00
-2,00	-16,00	2,00	10,00	1,00	-4,00	3,00	-15,00	11,00	-8,00	0,00	-6,00	4,00	-7535,00	-5,00	9,00
-4,00	-10,00	6,00	7,00	2,00	-3,00	2,00	-18,00	7,00	1,00	-1,00	-11,00	6,00	-7545,00	-6,00	7,00
